,EMA,CMO,MINUSDM,PLUSDM,CLOSE,CLOSEL1,CLOSEL2,CLOSEL3,3O,CMB,UP_DOWN
20,21701.212404761904,-30.354869024323587,1350.8915000000043,601.8724999999993,21187.86,20893.15,21098.26,21226.31,0,0,0
21,21624.254080498864,-38.15940595358237,1524.3869250000014,571.7788749999993,20893.15,21098.26,21226.31,21167.46,0,0,1
22,21574.15940616564,-27.677525673585023,1548.5675787500027,543.1899312499993,21098.26,21226.31,21167.46,21099.35,0,0,1
23,21541.03089129272,-21.614183080429004,1471.1391998125025,603.4904346874985,21226.31,21167.46,21099.35,21277.03,0,0,0
24,21505.452711169604,-23.37459266812649,1397.5822398218775,635.6059129531244,21167.46,21099.35,21277.03,21336.0,0,0,0
25,21466.776262486786,-25.415236272843117,1524.0031278307865,603.8256173054682,21099.35,21277.03,21336.0,21271.65,0,0,1
26,21448.705189868997,-16.868580816071216,1447.8029714392471,660.1743364401957,21277.03,21336.0,21271.65,21093.48,0,0,1
27,21437.971362262426,-14.15092589105875,1375.4128228672848,715.4556196181868,21336.0,21271.65,21093.48,21103.73,1,0,0
28,21422.13123252315,-16.384383707175402,1306.6421817239207,724.402838637275,21271.65,21093.48,21103.73,20722.92,0,0,0
29,21390.83111513999,-22.277579617247056,1416.1400726377228,688.1826967054112,21093.48,21103.73,20722.92,20343.12,0,1,1
30,21363.488151793325,-21.757911165042092,1478.143069005838,653.7735618701406,21103.73,20722.92,20343.12,20464.94,0,0,0
31,21302.48166114634,-32.90872219797393,1702.5359155555454,621.0848837766335,20722.92,20343.12,20464.94,20372.1,0,0,0
32,21211.113883894308,-41.64046357511864,1936.5891197777685,590.0306395878018,20343.12,20464.94,20372.1,20265.06,0,1,1
33,21140.0497044758,-35.67854542985716,1850.1096637888786,560.5291076084118,20464.94,20372.1,20265.06,20179.72,0,0,0
34,21066.91163738287,-37.779539477900585,1757.6041805994346,639.1826522279879,20372.1,20265.06,20179.72,20210.02,0,0,0
35,20990.544814774978,-40.15203665396414,1784.723971569463,607.2235196165885,20265.06,20179.72,20210.02,20217.44,0,0,0
36,20913.323403844028,-42.007809969481556,1710.4877729909897,576.8623436357591,20179.72,20210.02,20217.44,20238.04,0,0,1
37,20846.342127287455,-40.38095022726812,1660.9633843414401,548.0192264539711,20210.02,20217.44,20238.04,20277.89,0,0,1
38,20786.446686593412,-39.96761433949862,1577.9152151243682,566.1482651312714,20217.44,20238.04,20277.89,20512.26,0,0,1
39,20734.21747834642,-38.77351288185848,1499.0194543681498,537.8408518747078,20238.04,20277.89,20512.26,20650.72,0,0,1
40,20690.757718503904,-36.40389703046569,1424.0684816497424,528.2488092809717,20277.89,20512.26,20650.72,20573.58,0,0,1
41,20673.757935789246,-23.363029607973765,1352.8650575672552,995.9063688169228,20512.26,20650.72,20573.58,20619.17,0,0,1
42,20671.56384666646,-16.440234547976804,1285.2218046888925,946.1110503760767,20650.72,20573.58,20619.17,20970.08,0,0,0
43,20662.232051745847,-19.102570594595665,1220.960714454448,898.8054978572729,20573.58,20619.17,20970.08,21181.92,0,0,1
44,20658.13090396053,-16.787687457045823,1276.272678731726,853.8652229644093,20619.17,20970.08,21181.92,21177.03,0,0,1
45,20687.840341678573,-0.8987053079430775,1212.4590447951398,1187.8119618161882,20970.08,21181.92,21177.03,21362.83,0,0,1
46,20734.895547232994,7.130298870555393,1151.8360925553827,1419.98136372538,21181.92,21177.03,21362.83,21213.24,0,0,0
47,20777.003590353663,6.923557792042781,1110.134287927613,1348.9822955391112,21177.03,21362.83,21213.24,21260.77,0,0,1
48,20832.796581748553,13.592816371966746,1054.6275735312324,1452.8631807621573,21362.83,21213.24,21260.77,21197.61,0,1,0
49,20869.02928824869,7.089739450866883,1001.8961948546709,1588.8900217240478,21213.24,21260.77,21197.61,21394.08,0,0,1
50,20906.3379274631,8.835305756543727,1027.8913851119373,1509.4455206378454,21260.77,21197.61,21394.08,21437.85,0,0,0
51,20934.07812484757,6.048367411172997,976.4968158563405,1591.513244605954,21197.61,21394.08,21437.85,21509.95,0,0,1
52,20977.887827243037,13.316525863085236,927.6719750635235,1573.6575823756539,21394.08,21437.85,21509.95,21561.5,0,0,1
53,21021.693748457987,14.86108612507644,881.2883763103473,1679.2547032568737,21437.85,21509.95,21561.5,21604.46,0,0,1
54,21068.19434384294,17.4127112518282,837.22395749483,1595.29196809403,21509.95,21561.5,21604.46,21376.16,0,0,1
55,21115.175834905516,19.234444352510838,795.3627596200885,1757.1673696893279,21561.5,21604.46,21376.16,21257.03,0,0,1
56,21161.774326819275,20.7676003546979,755.594621639084,1669.3090012048615,21604.46,21376.16,21257.03,21215.09,0,0,0
57,21182.192009979346,9.174504533920725,1044.8948905571315,1585.8435511446185,21376.16,21257.03,21215.09,21308.3,0,0,0
58,21189.31943760036,3.706288006541402,1002.5601460292747,1506.5513735873876,21257.03,21215.09,21308.3,21231.75,0,0,0
59,21191.773776876515,1.816443487734843,1077.2621387278127,1431.2238049080183,21215.09,21308.3,21231.75,21319.25,0,0,1
60,21202.871512412086,5.831016358002575,1023.3990317914221,1414.94261466262,21308.3,21231.75,21319.25,21419.1,0,0,0
61,21205.621844563317,2.2178624413445864,1044.889080201851,1344.195483929489,21231.75,21319.25,21419.1,21351.3,0,0,1
62,21216.443573652523,6.076099157574174,992.6446261917583,1276.9857097330146,21319.25,21419.1,21351.3,21210.54,0,0,1
63,21235.744185685617,10.326312987543126,943.0123948821704,1367.7664242463647,21419.1,21351.3,21210.54,20822.52,1,0,0
64,21246.749501334605,6.869726899328871,895.8617751380618,1344.978103034045,21351.3,21210.54,20822.52,20723.0,0,0,0
65,21243.300977397976,0.02136047314156921,987.6386863811584,1277.7291978823428,21210.54,20822.52,20723.0,20740.6,0,0,0
